RptDt;TckrSymb;SctyId;SctySrc;MktIdrCd;ISIN;FrstPric;MinPric;MaxPric;TradAvrgPric;LastPric;OscnPctg;TradQty;MktDataStrmId;NtlFinVol;IntlFinVol;FinInstrmQty;BestBidPric;BestAskPric;RglrTxsQty;NtlRglrVol;IntlRglrVol;MaxTradLmt;MinTradLmt;OpnIntrst;NonRglrTxsQty;RglrTraddCtrcts;NonRglrTraddCtrcts;NtlNonRglrVol;IntlNonRglrVol;NovaColunaRodboza
25/06/2018;AALL34;2E+11;8;BVMF;BRAALLBDR003;;;;;161.352.279;;;;;;;;;;;;;;;;;;;;Rodboza fodao - AALL34
25/06/2018;AALL34F;2E+11;8;BVMF;BRAALLBDR003;;;;;161.352.279;;;;;;;;;;;;;;;;;;;;Rodboza fodao - AALL34F
25/06/2018;AALR3;2E+11;8;BVMF;BRAALRACNOR6;13.1;12.7;13.1;12.92;12.95;1.17;218;Electronic (default);598608;158904.19;46300;12.93;12.95;218;598608;158904.19;;;;;46300;;;;Rodboza fodao - AALR3
25/06/2018;AALR3F;2E+11;8;BVMF;BRAALRACNOR6;;;;;12.64;;;;;;;12.43;13;;;;;;;;;;;;Rodboza fodao - AALR3F
25/06/2018;AAPL34;2E+11;8;BVMF;BRAAPLBDR004;69.77;68;69.77;69.04;69.01;-2.11;6;Electronic (default);731884;194283.13;10600;67.5;69.01;6;731884;194283.13;;;;;10600;;;;Rodboza fodao - AAPL34
25/06/2018;AAPL34F;2E+11;8;BVMF;BRAAPLBDR004;68.04;68;68.04;68.03;68;-3.54;2;Electronic (default);4898.52;1300.34;72;67.47;68.5;2;4898.52;1300.34;;;;;72;;;;Rodboza fodao - AAPL34F
25/06/2018;ABBV34;2E+11;8;BVMF;BRABBVBDR001;349.12;349.12;349.12;349.12;349.12;-6.32;1;Electronic (default);69824;18535.21;200;;;1;69824;18535.21;;;;;200;;;;Rodboza fodao - ABBV34
25/06/2018;ABBV34F;2E+11;8;BVMF;BRABBVBDR001;349.12;349.12;349.12;349.12;349.12;-6.32;1;Electronic (default);28976.96;7692.11;83;;;1;28976.96;7692.11;;;;;83;;;;Rodboza fodao - ABBV34F
25/06/2018;ABCB4;2E+11;8;BVMF;BRABCBACNPR4;15.21;14.96;15.26;15.14;15.26;0.85;2614;Electronic (default);11912622;3162279.2;786500;15.21;15.26;2614;11912622;3162279.2;;;;;786500;;;;Rodboza fodao - ABCB4
25/06/2018;ABCB4F;2E+11;8;BVMF;BRABCBACNPR4;15.2;15.01;15.21;15.13;15.2;0.46;29;Electronic (default);7099.32;1884.55;469;15.15;15.2;29;7099.32;1884.55;;;;;469;;;;Rodboza fodao - ABCB4F
