RptDt;TckrSymb;SctyId;SctySrc;MktIdrCd;ISIN;FrstPric;MinPric;MaxPric;TradAvrgPric;LastPric;OscnPctg;TradQty;MktDataStrmId;NtlFinVol;IntlFinVol;FinInstrmQty;BestBidPric;BestAskPric;RglrTxsQty;NtlRglrVol;IntlRglrVol;MaxTradLmt;MinTradLmt;OpnIntrst;NonRglrTxsQty;RglrTraddCtrcts;NonRglrTraddCtrcts;NtlNonRglrVol;IntlNonRglrVol
2018-06-25;AALL34;200000178903;8;BVMF;BRAALLBDR003;;;;;161.352279;;;;;;;;;;;;;;;;;;;
2018-06-25;AALL34F;200000178911;8;BVMF;BRAALLBDR003;;;;;161.352279;;;;;;;;;;;;;;;;;;;
2018-06-25;AALR3;200000057815;8;BVMF;BRAALRACNOR6;13.1;12.7;13.1;12.92;12.95;1.17;218;Electronic (default);598608;158904.19;46300;12.93;12.95;218;598608;158904.19;;;;;46300;;;
2018-06-25;AALR3F;200000060960;8;BVMF;BRAALRACNOR6;;;;;12.64;;;;;;;12.43;13;;;;;;;;;;;
2018-06-25;AAPL34;200000179629;8;BVMF;BRAAPLBDR004;69.77;68;69.77;69.04;69.01;-2.11;6;Electronic (default);731884;194283.13;10600;67.5;69.01;6;731884;194283.13;;;;;10600;;;
2018-06-25;AAPL34F;200000179638;8;BVMF;BRAAPLBDR004;68.04;68;68.04;68.03;68;-3.54;2;Electronic (default);4898.52;1300.34;72;67.47;68.5;2;4898.52;1300.34;;;;;72;;;
2018-06-25;ABBV34;200000172126;8;BVMF;BRABBVBDR001;349.12;349.12;349.12;349.12;349.12;-6.32;1;Electronic (default);69824;18535.21;200;;;1;69824;18535.21;;;;;200;;;
2018-06-25;ABBV34F;200000172134;8;BVMF;BRABBVBDR001;349.12;349.12;349.12;349.12;349.12;-6.32;1;Electronic (default);28976.96;7692.11;83;;;1;28976.96;7692.11;;;;;83;;;
2018-06-25;ABCB4;200000147738;8;BVMF;BRABCBACNPR4;15.21;14.96;15.26;15.14;15.26;0.85;2614;Electronic (default);11912622;3162279.2;786500;15.21;15.26;2614;11912622;3162279.2;;;;;786500;;;
2018-06-25;ABCB4F;200000147748;8;BVMF;BRABCBACNPR4;15.2;15.01;15.21;15.13;15.2;0.46;29;Electronic (default);7099.32;1884.55;469;15.15;15.2;29;7099.32;1884.55;;;;;469;;;
2018-06-25;ABCP11;200000187419;8;BVMF;BRABCPCTF000;14.45;14.4;14.49;14.42;14.49;0;196;Electronic (default);213650.37;56714.81;14808;14.45;14.49;196;213650.37;56714.81;;;;;14808;;;
2018-06-25;ABEV3;200000192968;8;BVMF;BRABEVACNOR1;18.2;18.14;18.45;18.24;18.22;0.33;19118;Electronic (default);194614875;51661722.54;10669300;18.22;18.23;19059;193697643;51418237.63;;;;59;10619200;50100;917232;243484.9
2018-06-25;ABEV3F;200000192977;8;BVMF;BRABEVACNOR1;18.43;18.17;18.43;18.25;18.18;0.11;175;Electronic (default);72721.45;19304.35;3984;18.18;18.6;175;72721.45;19304.35;;;;;3984;;;
